DateTime;Total Load
118139;9837.44
118140;9750.52
118141;10020.91
118142;9954.21
118143;10073.52
118144;10212.21
118145;10234.88
118146;10463.88
118147;10248.86
118148;10301.23
118149;10375.99
118150;10233.91
118151;10180.77
118152;10097.02
118153;10088.35
118154;10171.15
118155;10060.77
118156;10079.97
118157;10071.2
118158;10035.88
118159;9964.11
118160;10090.8
118161;10075.19
118162;10116.54
118163;10075.13
118164;10075.54
118165;10009.23
118166;10076.81
118167;10046.78
118168;10058.35
118169;10234.14
118170;10112.83
118171;9999.84
118172;10000.34
118173;10319.31
118174;10240.63
118175;10231.5
118176;10231.2
118177;10175.55
118178;10186.78
118179;10027.44
118180;10026.64
118181;10132.41
118182;10263.38
118183;10198.8
118184;10005.09
118185;9983.05
118186;9964.37
118187;9911.18
118188;9741.8
118189;9596.29
118190;9464.15
118191;9324.13
118192;9168.11
118193;8817.3
118194;8747.59
118195;8634.21
118196;8346.2
118197;8163.5
118198;8319.08
118199;8196.36
118200;8225.15
118201;8083.49
118202;8083.57
118203;7996.3
118204;7746.76
118205;7862.67
118206;7936.19
118207;7921.97
118208;7921.56
118209;7872.02
118210;7877.61
118211;8056.65
118212;8215.83
118213;8272.05
118214;8228.27
118215;8262.07
118216;8364.13
118217;8447.71
118218;8537.82
118219;8679.66
118220;8792.69
118221;9004.6
118222;9054.93
118223;9269.61
118224;9382.3
118225;9416.15
118226;9555.48
118227;9633.72
118228;9557.02
118229;9274.32
118230;9328.94
118231;9348.92
118232;9414.9
118233;9450.92
118234;9588.71
118235;9637.38
118236;9764.64
118237;9785.63
118238;9880.41
118239;9939.07
118240;10008.61
118241;10078.0
118242;10106.62
118243;10146.44
118244;10068.91
118245;10144.89
118246;10108.14
118247;10046.51
118248;9964.6
118249;9945.7
118250;9834.33
118251;9729.66
118252;9732.51
118253;9749.01
118254;9759.78
118255;9801.97
118256;9737.85
118257;9733.22
118258;9860.82
118259;9827.6
118260;9849.6
118261;9883.62
118262;9831.88
118263;9835.5
118264;9901.62
118265;9956.56
118266;9977.03
118267;9952.3
118268;10072.53
118269;10135.03
118270;10175.01
118271;10135.95
118272;10104.02
118273;10142.37
118274;10041.23
118275;10021.6
118276;10016.24
118277;10066.07
118278;10071.39
118279;9915.69
118280;9965.4
118281;9809.3
118282;9757.48
118283;9719.28
118284;9619.57
118285;9435.97
118286;9249.58
118287;9128.44
118288;9073.5
118289;8891.2
118290;8721.14
118291;8573.57
118292;8363.67
118293;8188.05
118294;8130.88
118295;8226.25
118296;8144.51
118297;8012.47
118298;7843.12
118299;7974.05
118300;7971.49
118301;7939.93
118302;7905.09
118303;7872.64
118304;7843.41
118305;7929.3
118306;7962.19
118307;7969.87
118308;7959.16
118309;8002.19
118310;8096.35
118311;8157.66
118312;8220.18
118313;8277.23
118314;8387.42
118315;8512.75
118316;8721.85
118317;8900.25
118318;9046.22
118319;9209.17
118320;9310.99
118321;9440.25
118322;9584.8
118323;9541.02
118324;9421.69
118325;9213.53
118326;9193.31
118327;9214.46
118328;9272.03
118329;9371.7
118330;9435.3
118331;9540.51
118332;9616.8
118333;9631.07
118334;9660.78
118335;9785.64
118336;9852.54
118337;9904.73
118338;9913.68
118339;9886.21
118340;9857.6
118341;9907.89
118342;9859.76
118343;9773.62
118344;9731.82
118345;9645.63
118346;9614.35
118347;9669.86
118348;9674.32
118349;9684.0
118350;9626.3
118351;9535.96
118352;9666.7
118353;9705.5
118354;9787.26
118355;9782.71
118356;9911.82
118357;10023.9
118358;10048.74
118359;10168.53
118360;10174.13
118361;10180.33
118362;10284.92
118363;10332.34
118364;10424.19
118365;10548.62
118366;10494.84
118367;10450.08
118368;10483.72
118369;10442.46
118370;10391.56
118371;10331.96
118372;10217.07
118373;10234.08
118374;10230.57
118375;10155.41
118376;10105.18
118377;9973.46
118378;9902.22
118379;9792.91
118380;9663.38
118381;9516.21
118382;9369.23
118383;9189.56
118384;9013.63
118385;8877.22
118386;8717.83
118387;8509.41
118388;8497.46
118389;8248.29
118390;8133.69
